date,Open_Price,High_Price,Low_Price,Volume,Close_Price
1/8/2002,0.02892562,0.024896266,0.023187079,0.006022979,0.023184066
1/9/2002,0.023553719,0.019502075,0.022521022,0.033656525,0.021198988
1/10/2002,0.019834711,0.016473029,0.022895679,0.003752766,0.021116276
1/11/2002,0.019834711,0.016473029,0.022146366,0.00377367,0.020330516
1/14/2002,0.020578512,0.01780083,0.023853135,0.001891231,0.022439662
1/15/2002,0.020413223,0.017178423,0.023228707,0.001971883,0.021198988
1/16/2002,0.02107438,0.017012448,0.022479394,0.00491031,0.020620006
1/17/2002,0.020661157,0.017842324,0.022354508,0.00441909,0.022811864
1/18/2002,0.020826446,0.016929461,0.022895679,0.005220293,0.020868141
1/21/2002,0.020082645,0.016182573,0.022687536,0.000999,0.020661362
1/22/2002,0.020041322,0.016099585,0.022729165,0.001513884,0.020826785
1/23/2002,0.02,0.01593361,0.022354508,0.001817939,0.020247804
1/24/2002,0.020041322,0.016390041,0.02231288,0.001273206,0.02028916
1/25/2002,0.019008264,0.015352697,0.021771709,0.001375171,0.020206448
1/28/2002,0.019504132,0.015560166,0.021646824,0.001121971,0.019462044
1/29/2002,0.017892562,0.014688797,0.021355424,0.000922897,0.019834246
1/30/2002,0.017975207,0.013941909,0.020814254,0.000552195,0.018883062
1/31/2002,0.018181818,0.014979253,0.021646824,0.001430983,0.020247804
2/1/2002,0.019628099,0.015560166,0.021313796,0.000562059,0.020082381
2/4/2002,0.018595041,0.015103734,0.021813338,0.000611278,0.019586111
2/5/2002,0.018429752,0.014771784,0.021688452,0.000470827,0.019503399
2/6/2002,0.019421488,0.018257261,0.022895679,0.004509657,0.02285322
2/7/2002,0.021900826,0.018713693,0.022521022,0.003156157,0.02157119
2/8/2002,0.021280992,0.018672199,0.02426942,0.000585978,0.023473557
2/11/2002,0.023140496,0.019917012,0.02622596,0.002004389,0.024466097
2/12/2002,0.023801653,0.019751037,0.025976188,0.000873116,0.024176606
2/13/2002,0.023057851,0.019709544,0.026517359,0.001296768,0.024342029
2/14/2002,0.023966942,0.020248963,0.027266672,0.001272746,0.025499992
2/15/2002,0.024545455,0.021369295,0.028057614,0.000520353,0.026533887
2/18/2002,0.025619835,0.023070539,0.026392474,0.000849911,0.027071512
2/19/2002,0.026033058,0.021991701,0.028473899,0.001205945,0.026616599
2/20/2002,0.024380165,0.020788382,0.027391558,0.000866267,0.025334568
2/21/2002,0.024586777,0.020954357,0.027724586,0.001083281,0.025789482
2/22/2002,0.025,0.021161826,0.027516443,0.000891771,0.026327108
2/25/2002,0.024834711,0.021576763,0.028349013,0.000968947,0.026616599
2/26/2002,0.02607438,0.024107884,0.029389726,0.001612578,0.028767101
2/27/2002,0.028099174,0.024481328,0.029972525,0.001822999,0.028270831
2/28/2002,0.027438017,0.023817427,0.026642245,0.001525946,0.025169145
3/1/2002,0.025206612,0.022572614,0.026892016,0.000646493,0.027071512
3/4/2002,0.026983471,0.023651452,0.02955624,0.000702663,0.027319647
3/5/2002,0.02677686,0.023651452,0.029597869,0.000675932,0.027485071
3/6/2002,0.026694215,0.022987552,0.028973441,0.001236407,0.026864733
3/7/2002,0.026859504,0.023443983,0.02984764,0.000794764,0.028643033
3/8/2002,0.02768595,0.023983402,0.03038881,0.000589761,0.028932524
3/11/2002,0.02768595,0.023651452,0.029098327,0.000570594,0.027154224
3/12/2002,0.025867769,0.021825726,0.0275997,0.00131987,0.025499992
3/13/2002,0.024958678,0.021742739,0.028390642,0.00104965,0.026368464
3/14/2002,0.025413223,0.021825726,0.028473899,0.000618944,0.026244396
3/15/2002,0.025413223,0.022572614,0.028931813,0.001527377,0.027650494
